,login,contributions
0,zpao,1777
1,gaearon,1537
2,bvaughn,1414
3,sophiebits,1268
4,sebmarkbage,844
5,acdlite,788
6,jimfb,456
7,trueadm,435
8,petehunt,332
9,chenglou,222
10,vjeux,207
11,benjamn,140
12,yungsters,120
13,subtleGradient,115
14,nhunzaker,94
15,necolas,92
16,syranide,77
17,cpojer,70
18,flarnie,67
19,koba04,66
20,aweary,66
21,marocchino,45
22,kohei-takata,39
23,TheSavior,30
24,chicoxyzzy,29
25,keyz,28
26,lunaruan,28
27,rickhanlonii,27
28,mcsheffrey,26
29,bgw,24
30,NE-SmallTown,22
31,hellendag,21
32,joshduck,21
33,aickin,19
34,jquense,18
35,Daniel15,17
36,iamdustan,17
37,eps1lon,17
38,SimenB,17
39,threepointone,17
40,philipp-spiess,17
41,Simek,15
42,fisherwebdev,15
43,fabiomcosta,15
44,sompylasar,15
45,jordwalke,15
46,raphamorim,15
47,arkist,14
48,cody,14
49,iamchenxin,14
